{'dateTime': '2023-03-14T14:47:34', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0, 'windSpeed': 0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:22:38', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0, 'windSpeed': 0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:23:29', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:23:35', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:23:41', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:23:47', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:23:53', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:23:59', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:24:05', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:24:11', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0, 'windSpeed': 0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:24:16', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:24:22', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
{'dateTime': '2023-03-15T22:24:28', 'voltage_generator': None, 'current_generator': None, 'voltage_inverter': None, 'current_inverter': None, 'rpm': 0.0, 'windSpeed': 0.0, 'latitude': None, 'longitude': None}
